run,query_hash,time_ms
0,e1e93656,551
0,c3c4ce2d,2
0,b327aa4a,420
0,2befbfe7,42
0,e506ec9d,55
0,670fd851,4
0,273e78cb,0
0,46f37273,1
0,1fdf2761,11
0,273e78cb,0
0,46f37273,1
0,6245fe4e,73
0,e8057af8,10
0,273e78cb,1
0,e3d02a6a,35
1,e1e93656,611
1,c3c4ce2d,4
1,b327aa4a,544
1,2befbfe7,347
1,e506ec9d,202
1,670fd851,0
1,273e78cb,1
1,46f37273,1
1,1fdf2761,13
1,273e78cb,0
1,46f37273,1
1,6245fe4e,12
1,e8057af8,3
1,273e78cb,0
1,e3d02a6a,15
2,e1e93656,807
2,c3c4ce2d,2
2,b327aa4a,267
2,2befbfe7,57
2,e506ec9d,54
2,670fd851,1
2,273e78cb,2
2,46f37273,3
2,1fdf2761,28
2,273e78cb,3
2,46f37273,6
2,6245fe4e,40
2,e8057af8,123
2,273e78cb,3
2,e3d02a6a,130
3,e1e93656,17
3,c3c4ce2d,1
3,b327aa4a,104
3,2befbfe7,344
3,e506ec9d,99
3,670fd851,0
3,273e78cb,0
3,46f37273,2
3,1fdf2761,17
3,273e78cb,0
3,46f37273,2
3,6245fe4e,14
3,e8057af8,3
3,273e78cb,0
3,e3d02a6a,14
4,e1e93656,19
4,c3c4ce2d,2
4,b327aa4a,48
4,2befbfe7,29
4,e506ec9d,14
4,670fd851,0
4,273e78cb,0
4,46f37273,2
4,1fdf2761,17
4,273e78cb,1
4,46f37273,1
4,6245fe4e,18
4,e8057af8,8
4,273e78cb,0
4,e3d02a6a,17
5,e1e93656,17
5,c3c4ce2d,2
5,b327aa4a,120
5,2befbfe7,476
5,e506ec9d,85
5,670fd851,1
5,273e78cb,1
5,46f37273,1
5,1fdf2761,19
5,273e78cb,1
5,46f37273,1
5,6245fe4e,21
5,e8057af8,5
5,273e78cb,0
5,e3d02a6a,16
6,e1e93656,18
6,c3c4ce2d,2
6,b327aa4a,52
6,2befbfe7,35
6,e506ec9d,17
6,670fd851,0
6,273e78cb,0
6,46f37273,2
6,1fdf2761,20
6,273e78cb,0
6,46f37273,2
6,6245fe4e,21
6,e8057af8,8
6,273e78cb,1
6,e3d02a6a,21
7,e1e93656,16
7,c3c4ce2d,1
7,b327aa4a,134
7,2befbfe7,483
7,e506ec9d,79
7,670fd851,0
7,273e78cb,1
7,46f37273,1
7,1fdf2761,21
7,273e78cb,1
7,46f37273,1
7,6245fe4e,21
7,e8057af8,5
7,273e78cb,1
7,e3d02a6a,18
8,e1e93656,15
8,c3c4ce2d,2
8,b327aa4a,57
8,2befbfe7,76
8,e506ec9d,39
8,670fd851,0
8,273e78cb,1
8,46f37273,1
8,1fdf2761,23
8,273e78cb,1
8,46f37273,1
8,6245fe4e,28
8,e8057af8,7
8,273e78cb,1
8,e3d02a6a,23
9,e1e93656,17
9,c3c4ce2d,1
9,b327aa4a,147
9,2befbfe7,522
9,e506ec9d,82
9,670fd851,0
9,273e78cb,0
9,46f37273,1
9,1fdf2761,27
9,273e78cb,1
9,46f37273,2
9,6245fe4e,30
9,e8057af8,5
9,273e78cb,0
9,e3d02a6a,22
10,e1e93656,16
10,c3c4ce2d,1
10,b327aa4a,72
10,2befbfe7,138
10,e506ec9d,35
10,670fd851,0
10,273e78cb,0
10,46f37273,2
10,1fdf2761,28
10,273e78cb,1
10,46f37273,2
10,6245fe4e,30
10,e8057af8,8
10,273e78cb,0
10,e3d02a6a,25
11,e1e93656,15
11,c3c4ce2d,2
11,b327aa4a,132
11,2befbfe7,464
11,e506ec9d,74
11,670fd851,0
11,273e78cb,1
11,46f37273,1
11,1fdf2761,31
11,273e78cb,1
11,46f37273,1
11,6245fe4e,32
11,e8057af8,5
11,273e78cb,0
11,e3d02a6a,25
12,e1e93656,16
12,c3c4ce2d,1
12,b327aa4a,96
12,2befbfe7,308
12,e506ec9d,55
12,670fd851,0
12,273e78cb,0
12,46f37273,1
12,1fdf2761,36
12,273e78cb,0
12,46f37273,2
12,6245fe4e,42
12,e8057af8,11
12,273e78cb,1
12,e3d02a6a,31
13,e1e93656,14
13,c3c4ce2d,1
13,b327aa4a,108
13,2befbfe7,383
13,e506ec9d,72
13,670fd851,0
13,273e78cb,0
13,46f37273,2
13,1fdf2761,36
13,273e78cb,1
13,46f37273,1
13,6245fe4e,44
13,e8057af8,7
13,273e78cb,0
13,e3d02a6a,32
14,e1e93656,17
14,c3c4ce2d,1
14,b327aa4a,103
14,2befbfe7,381
14,e506ec9d,72
14,670fd851,0
14,273e78cb,1
14,46f37273,2
14,1fdf2761,39
14,273e78cb,1
14,46f37273,2
14,6245fe4e,46
14,e8057af8,6
14,273e78cb,1
14,e3d02a6a,32
15,e1e93656,17
15,c3c4ce2d,1
15,b327aa4a,100
15,2befbfe7,344
15,e506ec9d,61
15,670fd851,1
15,273e78cb,0
15,46f37273,1
15,1fdf2761,41
15,273e78cb,1
15,46f37273,1
15,6245fe4e,50
15,e8057af8,8
15,273e78cb,1
15,e3d02a6a,32
16,e1e93656,17
16,c3c4ce2d,1
16,b327aa4a,81
16,2befbfe7,205
16,e506ec9d,55
16,670fd851,0
16,273e78cb,0
16,46f37273,2
16,1fdf2761,41
16,273e78cb,1
16,46f37273,1
16,6245fe4e,60
16,e8057af8,11
16,273e78cb,1
16,e3d02a6a,37
17,e1e93656,16
17,c3c4ce2d,2
17,b327aa4a,133
17,2befbfe7,433
17,e506ec9d,73
17,670fd851,1
17,273e78cb,1
17,46f37273,1
17,1fdf2761,42
17,273e78cb,1
17,46f37273,2
17,6245fe4e,63
17,e8057af8,7
17,273e78cb,1
17,e3d02a6a,297
18,e1e93656,16
18,c3c4ce2d,2
18,b327aa4a,110
18,2befbfe7,339
18,e506ec9d,54
18,670fd851,0
18,273e78cb,0
18,46f37273,1
18,1fdf2761,52
18,273e78cb,2
18,46f37273,1
18,6245fe4e,63
18,e8057af8,8
18,273e78cb,2
18,e3d02a6a,307
19,e1e93656,17
19,c3c4ce2d,1
19,b327aa4a,107
19,2befbfe7,355
19,e506ec9d,62
19,670fd851,0
19,273e78cb,0
19,46f37273,2
19,1fdf2761,46
19,273e78cb,1
19,46f37273,2
19,6245fe4e,70
19,e8057af8,9
19,273e78cb,1
19,e3d02a6a,242
