run,avg_postgres_cpu,peak_postgres_cpu,avg_system_cpu,peak_system_cpu,storage_size_bytes,bytes_received,postgres_found
0,5.86,9.70,7.25,19.60,67846144,382896823,True
1,6.19,9.90,8.98,17.10,95461376,423884196,True
2,6.85,99.10,9.91,17.40,124272640,436859618,True
3,6.48,10.30,10.15,19.10,124272640,435051947,True
4,6.03,9.80,10.02,16.10,124272640,434079183,True
