run,query_hash,time_ms
0,e1e93656,99
0,c3c4ce2d,2
0,3a9c12da,290
0,853cd585,77
0,e506ec9d,150
0,670fd851,1
0,273e78cb,1
0,46f37273,2
0,1fdf2761,17
0,273e78cb,0
0,46f37273,2
0,be6a79ae,16
0,2687b8b8,4
0,273e78cb,1
0,e3d02a6a,12
1,e1e93656,95
1,c3c4ce2d,2
1,3a9c12da,342
1,853cd585,110
1,e506ec9d,176
1,670fd851,1
1,273e78cb,1
1,46f37273,2
1,1fdf2761,32
1,273e78cb,1
1,46f37273,2
1,be6a79ae,26
1,2687b8b8,4
1,273e78cb,0
1,e3d02a6a,21
2,e1e93656,97
2,c3c4ce2d,2
2,3a9c12da,405
2,853cd585,128
2,e506ec9d,212
2,670fd851,1
2,273e78cb,1
2,46f37273,2
2,1fdf2761,39
2,273e78cb,1
2,46f37273,2
2,be6a79ae,43
2,2687b8b8,4
2,273e78cb,1
2,e3d02a6a,30
3,e1e93656,96
3,c3c4ce2d,2
3,3a9c12da,475
3,853cd585,155
3,e506ec9d,259
3,670fd851,1
3,273e78cb,2
3,46f37273,2
3,1fdf2761,53
3,273e78cb,1
3,46f37273,2
3,be6a79ae,67
3,2687b8b8,4
3,273e78cb,2
3,e3d02a6a,210
4,e1e93656,93
4,c3c4ce2d,2
4,3a9c12da,564
4,853cd585,173
4,e506ec9d,299
4,670fd851,1
4,273e78cb,1
4,46f37273,2
4,1fdf2761,63
4,273e78cb,1
4,46f37273,2
4,be6a79ae,206
4,2687b8b8,5
4,273e78cb,3
4,e3d02a6a,56
