run,avg_postgres_cpu,peak_postgres_cpu,avg_system_cpu,peak_system_cpu,storage_size_bytes,bytes_received,postgres_found
0,16.38,115.90,30.53,100.00,211910656,937659013,True
1,15.30,115.40,33.00,100.00,242393088,1125141367,True
2,15.54,113.80,39.32,100.00,298721280,1350306286,True
3,19.02,118.40,48.25,100.00,349741056,1620315233,True
4,15.49,197.20,50.28,100.00,412917760,1875507356,True
