run,query_hash,time_ms
0,e1e93656,26
0,c3c4ce2d,3
0,b327aa4a,48
0,2befbfe7,24
0,e506ec9d,11
0,670fd851,1
0,273e78cb,1
0,46f37273,2
0,1fdf2761,17
0,273e78cb,1
0,46f37273,2
0,6245fe4e,18
0,e8057af8,8
0,273e78cb,1
0,e3d02a6a,16
1,e1e93656,19
1,c3c4ce2d,3
1,b327aa4a,74
1,2befbfe7,23
1,e506ec9d,13
1,670fd851,0
1,273e78cb,1
1,46f37273,2
1,1fdf2761,13
1,273e78cb,4
1,46f37273,2
1,6245fe4e,20
1,e8057af8,13
1,273e78cb,1
1,e3d02a6a,20
2,e1e93656,19
2,c3c4ce2d,2
2,b327aa4a,92
2,2befbfe7,24
2,e506ec9d,16
2,670fd851,1
2,273e78cb,1
2,46f37273,2
2,1fdf2761,14
2,273e78cb,1
2,46f37273,2
2,6245fe4e,24
2,e8057af8,18
2,273e78cb,1
2,e3d02a6a,21
3,e1e93656,19
3,c3c4ce2d,3
3,b327aa4a,124
3,2befbfe7,25
3,e506ec9d,11
3,670fd851,1
3,273e78cb,1
3,46f37273,5
3,1fdf2761,14
3,273e78cb,1
3,46f37273,2
3,6245fe4e,36
3,e8057af8,62
3,273e78cb,2
3,e3d02a6a,24
4,e1e93656,19
4,c3c4ce2d,3
4,b327aa4a,126
4,2befbfe7,72
4,e506ec9d,19
4,670fd851,1
4,273e78cb,1
4,46f37273,3
4,1fdf2761,14
4,273e78cb,1
4,46f37273,2
4,6245fe4e,31
4,e8057af8,56
4,273e78cb,2
4,e3d02a6a,24
5,e1e93656,19
5,c3c4ce2d,2
5,b327aa4a,130
5,2befbfe7,67
5,e506ec9d,19
5,670fd851,1
5,273e78cb,1
5,46f37273,2
5,1fdf2761,15
5,273e78cb,1
5,46f37273,2
5,6245fe4e,33
5,e8057af8,55
5,273e78cb,2
5,e3d02a6a,28
6,e1e93656,19
6,c3c4ce2d,3
6,b327aa4a,155
6,2befbfe7,69
6,e506ec9d,19
6,670fd851,1
6,273e78cb,2
6,46f37273,3
6,1fdf2761,16
6,273e78cb,1
6,46f37273,2
6,6245fe4e,37
6,e8057af8,61
6,273e78cb,2
6,e3d02a6a,32
7,e1e93656,942
7,c3c4ce2d,3
7,b327aa4a,983
7,2befbfe7,341
7,e506ec9d,134
7,670fd851,2
7,273e78cb,2
7,46f37273,2
7,1fdf2761,37
7,273e78cb,6
7,46f37273,8
7,6245fe4e,274
7,e8057af8,505
7,273e78cb,2
7,e3d02a6a,163
8,e1e93656,19
8,c3c4ce2d,3
8,b327aa4a,304
8,2befbfe7,769
8,e506ec9d,121
8,670fd851,1
8,273e78cb,1
8,46f37273,3
8,1fdf2761,27
8,273e78cb,1
8,46f37273,2
8,6245fe4e,54
8,e8057af8,62
8,273e78cb,2
8,e3d02a6a,35
9,e1e93656,19
9,c3c4ce2d,3
9,b327aa4a,179
9,2befbfe7,408
9,e506ec9d,68
9,670fd851,1
9,273e78cb,1
9,46f37273,2
9,1fdf2761,34
9,273e78cb,2
9,46f37273,3
9,6245fe4e,57
9,e8057af8,58
9,273e78cb,2
9,e3d02a6a,31
10,e1e93656,19
10,c3c4ce2d,3
10,b327aa4a,134
10,2befbfe7,289
10,e506ec9d,51
10,670fd851,1
10,273e78cb,1
10,46f37273,2
10,1fdf2761,37
10,273e78cb,2
10,46f37273,3
10,6245fe4e,63
10,e8057af8,51
10,273e78cb,2
10,e3d02a6a,31
11,e1e93656,19
11,c3c4ce2d,3
11,b327aa4a,104
11,2befbfe7,73
11,e506ec9d,15
11,670fd851,1
11,273e78cb,1
11,46f37273,3
11,1fdf2761,41
11,273e78cb,2
11,46f37273,2
11,6245fe4e,72
11,e8057af8,31
11,273e78cb,2
11,e3d02a6a,44
12,e1e93656,19
12,c3c4ce2d,3
12,b327aa4a,115
12,2befbfe7,35
12,e506ec9d,13
12,670fd851,1
12,273e78cb,1
12,46f37273,2
12,1fdf2761,40
12,273e78cb,2
12,46f37273,3
12,6245fe4e,77
12,e8057af8,33
12,273e78cb,2
12,e3d02a6a,41
13,e1e93656,19
13,c3c4ce2d,3
13,b327aa4a,140
13,2befbfe7,35
13,e506ec9d,16
13,670fd851,1
13,273e78cb,1
13,46f37273,3
13,1fdf2761,39
13,273e78cb,2
13,46f37273,2
13,6245fe4e,90
13,e8057af8,48
13,273e78cb,2
13,e3d02a6a,47
14,e1e93656,19
14,c3c4ce2d,3
14,b327aa4a,136
14,2befbfe7,10
