run,query_hash,time_ms
0,e1e93656,85
0,46f37273,2
0,b974c207,167
0,dba0ee60,61
0,79c516bf,755
0,af14add9,0
0,3aebad93,156
0,78e6268f,3
0,95d001eb,134
1,e1e93656,75
1,46f37273,2
1,b974c207,179
1,dba0ee60,67
1,79c516bf,1148
1,af14add9,0
1,3aebad93,190
1,78e6268f,5
1,95d001eb,172
2,e1e93656,75
2,46f37273,1
2,b974c207,209
2,dba0ee60,83
2,79c516bf,1395
2,af14add9,0
2,3aebad93,228
2,78e6268f,5
2,95d001eb,198
3,e1e93656,83
3,46f37273,2
3,b974c207,253
3,dba0ee60,95
3,79c516bf,1987
3,af14add9,0
3,3aebad93,261
3,78e6268f,6
3,95d001eb,238
4,e1e93656,74
4,46f37273,1
4,b974c207,277
4,dba0ee60,117
4,79c516bf,2345
4,af14add9,0
4,3aebad93,320
4,78e6268f,6
4,95d001eb,263
5,e1e93656,74
5,46f37273,2
5,b974c207,280
5,dba0ee60,133
5,79c516bf,2504
5,af14add9,0
5,3aebad93,297
5,78e6268f,6
5,95d001eb,287
